Year,Position,Team_Name,Bed Number,Category,Time
2024,1,GH Brooks men,1,Mf,13:02.9
2024,2,Knaresborough Striders Men's Team,3,Mf,13:27.6
2024,3,Nidd Valley Men's,2,Mf,13:44.2
2024,4,Harrogate Harriers Grumpy Old Folk,8,Mf,15:03.8
2024,5,The Half Moon Pub,4,Mf,15:15.6
2024,6,Welly Wheelers,6,Mf,15:50.8
2024,7,Parkrunners,10,Xf,16:01.3
2024,8,Riverside Runners,7,Mf,16:02.6
2024,9,Raworths Solicitors,22,Mf,16:35.8
2024,10,Harrogate Harriers Harmony Energy Run Harrogate 10k,9,Xf,16:37.7
2024,11,Crag Rats,5,Mf,16:38.3
2024,12,St John Fisher's Catholic High School,18,Mf,16:42.5
2024,13,Ripon Runners Ladies,28,Ff,16:48.0
2024,14,Knaresborough RUFC,13,Mf,16:55.1
2024,15,Guardian Alarms,14,Mf,16:56.8
2024,16,Scotton Scorchers,23,Mf,17:01.7
2024,17,Wetherby Runners,11,Xf,17:30.9
2024,18,Knaresborough Striders Ladies,34,Ff,17:37.7
2024,19,The Night Caps,19,Mf,17:44.5
2024,20,Envirovent,30,Mf,17:52.5
2024,21,Hymas Hobblers (Old Guys!),16,Mf,17:53.5
2024,22,Monkton Meanderers,27,Xf,18:01.3
2024,23,Welly Wheelies,31,Ff,18:06.4
2024,24,HG Consulting Engineers,46,Me,18:18.3
2024,25,Consultio/ Consultius,15,Mf,18:25.3
2024,26,1st Knaresborough Scouts,35,Mf,18:43.9
2024,27,DOGS (Dads of Goldsborough School),24,Me,18:54.7
2024,28,Dazzling Bobbies,21,Xf,18:55.3
2024,29,The Rocket Men,37,Me,18:55.3
2024,30,Knaresborough St Johns Parents,51,Xe,19:00.8
2024,31,Ripon Runners All mixed up,29,Xf,19:19.6
2024,32,FBC Harrogate,40,Xe,19:39.2
2024,33,Welly Wheelettes,43,Ff,19:42.3
2024,34,Aurora's Army,20,Mf,20:02.8
2024,35,Nidd Valley Ladies,33,Ff,20:05.2
2024,36,The Groaning Grimbald Gazelles,25,Me,20:15.7
2024,37,The Mount School,36,Fe,20:18.8
2024,38,HACS 01,38,Me,20:22.7
